DEPARTMENT_ID,LAST_RANK,PREDICTED_LAST_RANK,FIRST_RANK,PREDICTED_FIRST_RANK,Mean_Actual,Mean_Predicted
105490022,72574,71708.12,19664,19393.902,46119.0,45551.008
105490023,14844,15120.325,6107,6218.8633,10475.5,10669.594
105490024,23996,24220.79,2979,2960.8445,13487.5,13590.816
105490025,48478,49916.582,21014,21048.574,34746.0,35482.58
105490026,70603,72065.44,46061,46037.758,58332.0,59051.598
105490027,296417,300199.4,250455,254646.78,273436.0,277423.1
105490028,131986,131958.06,88044,92088.15,110015.0,112023.11
105490030,33854,34984.016,29447,29686.63,31650.5,32335.324
105490031,169429,169957.44,49738,50975.74,109583.5,110466.586
105490033,171678,172130.02,129651,134712.36,150664.5,153421.19
105490062,19070,18424.578,10469,10203.335,14769.5,14313.957
105490101,212316,214582.66,186509,191277.67,199412.5,202930.16
105490102,146514,147379.1,103347,100101.734,124930.5,123740.414
105490103,141616,144722.3,70892,73671.66,106254.0,109196.98
105510017,49222,49616.1,12268,12078.514,30745.0,30847.309
105510026,255413,258780.02,126104,128344.57,190758.5,193562.3
105510035,40670,40288.63,40670,40969.414,40670.0,40629.023
105510044,43139,43677.836,13330,13294.616,28234.5,28486.227
105510053,294748,295907.06,116746,119401.016,205747.0,207654.03
105510062,73971,71952.06,73971,73492.57,73971.0,72722.31
105510089,67963,68217.58,22683,22522.082,45323.0,45369.83
105510098,7721,8196.482,5099,5022.782,6410.0,6609.6323
105510141,18127,18906.967,8342,8232.312,13234.5,13569.639
105510159,47732,47838.78,15552,15622.319,31642.0,31730.55
105510168,4910,4921.1567,1231,1352.819,3070.5,3136.9878
105510195,16409,16851.223,7527,7539.137,11968.0,12195.18
105510229,61004,60681.266,26367,26776.424,43685.5,43728.844
105510247,47786,47914.58,17549,17281.87,32667.5,32598.223
105510292,4344,4448.114,2411,2335.962,3377.5,3392.0378
