DEPARTMENT_ID,PREDICTED_LAST_RANK,PREDICTED_FIRST_RANK,Mean_Predicted
101190436,549224.7,82646.75,315935.72
101190517,109450.85,40064.863,74757.86
101190520,1067316.5,75960.27,571638.4
101190521,694488.6,78453.28,386470.94
101210102,1124281.2,550689.56,837485.4
101210183,932560.44,408371.6,670466.0
101210208,583707.4,68634.57,326170.97
101290082,564392.75,367472.8,465932.78
101290084,1019720.5,555130.44,787425.5
101290085,289673.25,28109.525,158891.39
101310013,143453.83,107786.125,125619.98
101310022,398541.28,250097.77,324319.53
101310031,657946.3,383119.12,520532.72
101310101,725029.5,76263.25,400646.38
101310128,980638.75,450779.1,715708.94
101310137,534327.7,89821.87,312074.78
101310146,128027.945,62478.93,95253.44
101310155,1129563.4,822064.6,975814.0
101310164,46462.61,29691.19,38076.9
101310207,769136.7,414414.62,591775.6
101310234,468739.28,56444.855,262592.06
101310243,339382.88,177702.98,258542.94
101310252,203400.39,155987.95,179694.17
101310261,913907.56,455341.3,684624.44
101370248,46714.223,33807.055,40260.64
101370263,174328.2,109629.59,141978.9
101370264,824968.94,422135.1,623552.0
101370270,550610.8,313252.47,431931.62
101370275,29832.514,12404.222,21118.367
101370276,775126.94,366225.22,570676.06
101410012,35726.906,21452.73,28589.818
101410021,52242.08,27877.285,40059.68
101410039,68994.734,15107.18,42050.957
101410048,76584.234,17411.707,46997.97
101410057,939087.06,140522.69,539804.9
101410066,483135.12,336579.62,409857.38
101410075,312128.84,51309.11,181718.97
101410084,111826.414,29637.068,70731.74
101410093,972129.9,352135.53,662132.7
101410109,506452.2,331682.34,419067.25
101410136,424564.38,249325.23,336944.8
101410145,363775.38,139460.11,251617.75
101410154,754529.25,125245.49,439887.38
101410163,654960.75,176645.25,415803.0
101410172,369871.38,12314.553,191092.97
101410181,238953.73,50942.3,144948.02
101410206,38895.88,2453.225,20674.553
101410215,846936.06,170812.14,508874.1
101410224,784011.1,198930.16,491470.62
101410233,502465.4,171593.08,337029.25
101410242,176205.1,6151.0913,91178.09
101410251,755440.06,22997.852,389218.97
101410278,56718.656,23201.72,39960.188
101410303,70582.1,24257.129,47419.617
101410357,74903.516,19322.766,47113.14
101410366,114601.87,43364.55,78983.21
101410375,23447.861,2587.2295,13017.545
101410393,128449.266,74935.02,101692.14
101410409,21908.375,1886.2919,11897.333
101410418,127806.29,30367.33,79086.81
101410427,106817.87,21189.121,64003.492
101410436,76226.02,16964.05,46595.04
101410445,88003.0,12351.04,50177.02
101410454,56690.59,34104.336,45397.46
101410463,34641.383,4238.7017,19440.043
101410481,227031.95,114588.2,170810.08
101410499,297834.8,135085.44,216460.12
101410506,291183.3,169275.94,230229.62
101410515,286557.12,152656.95,219607.03
101410524,18301.982,2142.0693,10222.025
101410533,132977.42,60964.45,96970.94
101410551,515368.0,295407.12,405387.56
101410806,839135.9,131178.86,485157.38
101410815,797649.7,193145.56,495397.62
101410824,1053346.9,405230.3,729288.6
101410833,253998.47,138749.03,196373.75
101410842,571938.94,43653.098,307796.03
101410851,1182397.0,524153.28,853275.1
101410869,547199.8,280053.06,413626.44
101410878,453292.8,200032.4,326662.62
101410887,609845.7,185212.92,397529.3
101410912,614205.75,237058.44,425632.1
101410921,728540.1,446499.72,587519.94
101410939,616894.94,238471.1,427683.0
101410948,853905.94,496052.47,674979.2
101410966,228606.69,141573.23,185089.97
101410975,246091.0,92875.76,169483.38
101410993,21311.797,10519.969,15915.883
101411001,369465.25,143740.31,256602.78
101411037,122903.266,67325.84,95114.555
101411091,77637.97,31268.309,54453.14
101411116,291263.88,128960.0,210111.94
101411125,570546.44,320805.25,445675.84
101411143,104796.37,17878.865,61337.617
101411152,1054890.0,451187.7,753038.9
101411258,552563.94,343587.2,448075.56
101411267,8789.363,1325.3423,5057.3525
101411276,229700.7,152475.5,191088.1
101411301,657868.5,282306.9,470087.7
101411319,176109.5,52547.438,114328.47
101490295,279586.6,37104.684,158345.64
101490363,198678.19,128322.17,163500.19
101490364,35011.484,21944.846,28478.164
101490366,72590.29,28330.35,50460.32
101490367,98903.9,55945.695,77424.8
101490393,725696.3,261346.97,493521.62
101490394,658782.6,23011.104,340896.88
101490403,989773.1,424692.75,707232.94
101490406,430089.62,172685.11,301387.38
101490408,113324.73,27767.988,70546.36
101490467,51859.305,35989.1,43924.203
101490468,999193.7,186186.78,592690.25
101490469,417651.78,134533.12,276092.44
101490471,590447.2,320423.7,455435.44
101490472,332757.03,187722.6,260239.81
101490473,115028.47,58620.96,86824.72
101490475,628795.8,347330.75,488063.28
101490476,372320.03,264574.97,318447.5
101510011,373914.88,247842.38,310878.62
101510029,260807.67,78580.5,169694.1
101510038,422442.78,275684.94,349063.88
101510047,338999.88,286075.47,312537.7
101510056,311112.2,199451.61,255281.9
101510065,578728.2,189761.61,384244.9
101510074,341882.28,22187.258,182034.77
101510083,208456.78,48078.125,128267.45
101510108,143906.56,83336.76,113621.66
101510117,130702.71,89664.38,110183.55
101510126,289970.12,165254.06,227612.1
101510144,208862.34,125757.88,167310.11
101510153,207467.72,100350.16,153908.94
101510214,15249.464,6565.328,10907.396
101510232,85465.17,61582.758,73523.97
101510241,21703.488,3842.8418,12773.165
101510259,99729.92,17961.174,58845.547
101510268,73195.71,19663.832,46429.773
101510277,39786.254,1003.5796,20394.916
101510286,29013.994,4919.95,16966.973
101510295,215345.89,177168.6,196257.25
101510302,165077.34,89515.12,127296.234
101510408,666522.1,295325.16,480923.62
101510417,608960.0,198015.94,403487.97
101510435,18986.693,8631.23,13808.962
101510471,94878.54,56637.793,75758.164
101510489,249624.77,135808.94,192716.84
101510523,44099.535,12924.977,28512.256
101510541,117215.25,37142.637,77178.945
101510559,608215.94,232709.98,420462.97
101510568,416015.56,189734.83,302875.2
101510577,678485.56,377820.97,528153.25
101510586,57378.44,20606.762,38992.6
101510595,293374.78,210645.86,252010.31
101510674,82335.375,53128.34,67731.86
101590104,515715.12,187711.33,351713.22
101590106,339435.62,208346.48,273891.06
101590107,456766.6,112492.266,284629.44
101590114,89795.66,25576.55,57686.1
101590128,273759.0,172516.72,223137.86
101590157,30265.412,7603.72,18934.566
101610028,381337.72,192205.86,286771.78
101610046,916366.06,464247.75,690306.9
101610055,775575.06,326558.44,551066.75
101610064,826376.06,336377.16,581376.6
101610073,243689.92,124628.66,184159.28
101610134,137910.55,108618.25,123264.4
101610143,111464.4,38050.64,74757.516
101610161,864950.94,269520.94,567235.94
101610179,450953.25,37497.31,244225.28
101610197,395269.75,201064.44,298167.1
101610204,400178.97,236384.56,318281.75
101610231,573068.56,90107.83,331588.2
101610258,45076.215,9462.054,27269.135
101610276,565206.06,40277.95,302742.0
101610285,161317.6,82473.61,121895.6
101610294,1014292.94,406586.34,710439.6
101610319,941849.56,146037.75,543943.6
101610337,430934.16,370348.94,400641.56
101690090,141216.84,51015.277,96116.06
101690091,659601.75,339949.44,499775.6
101690096,23243.58,10271.243,16757.412
101690097,761803.06,71476.52,416639.78
101690098,308058.78,203493.72,255776.25
