FACULTY_NAME,DEPARTMENT_ID,DEPARTMENT_NAME,LAST_RANK,FIRST_RANK,FIELD_RATE,SUM_ENROLLMENT,SUM_CAPACITY
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910266,  Uluslararasý Giriþimcilik (Ýngilizce) (Ücretli),1170445.0,1170445.0,0.1,1.0,10.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910266,Uluslararasý Giriþimcilik (Ýngilizce) (Ücretli),1785730.0,1591636.0,0.4,2.0,5.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910273,  Uluslararasý Giriþimcilik (Ýngilizce) (Burslu),1312821.0,258678.0,0.4,4.0,10.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910273,Uluslararasý Giriþimcilik (Ýngilizce) (Burslu),1371566.5,670570.5,1.0,10.0,10.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910280,  Uluslararasý Giriþimcilik (Ýngilizce) (%50 Ýndirimli),1528704.0,1528704.0,0.03,1.0,30.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910280,Uluslararasý Giriþimcilik (Ýngilizce) (%50 Ýndirimli),1780640.0,1731688.0,0.1,2.0,20.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910287,  Uluslararasý Ticaret ve Lojistik (Ýngilizce) (Ücretli),1613647.0,1613647.0,0.12,1.0,8.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910294,  Uluslararasý Ticaret ve Lojistik (Ýngilizce) (Burslu),1335167.0,232192.0,1.0,8.0,8.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910294,Uluslararasý Ticaret ve Lojistik (Ýngilizce) (Burslu),1032174.0,710475.5,1.0,10.0,10.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910301,  Uluslararasý Ticaret ve Lojistik (Ýngilizce) (%50 Ýndirimli),1733881.0,714899.0,0.21,5.0,24.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910301,Uluslararasý Ticaret ve Lojistik (Ýngilizce) (%50 Ýndirimli),1798223.0,1126084.0,0.48,12.0,25.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910308,Ýktisat (Ýngilizce) (Burslu),1658050.5,768469.5,0.95,9.5,10.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910315,Ýktisat (Ýngilizce) (Ücretli),1802000.0,1802000.0,0.1,1.0,10.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910343,Ýktisat (Ýngilizce) (%50 Ýndirimli),1546646.0,1546646.0,0.05,1.0,20.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910350,Yönetim Biliþim Sistemleri (Ýngilizce) (Burslu),553633.0,121685.0,1.0,10.0,10.0
Adana Týp Fakültesi,111091391,Týp,14719.6,10604.2,1.0,62.0,62.0
Afþin Saðlýk Yüksekokulu,106010531,  Hemþirelik,190638.0,78379.0,1.0,62.0,62.0
Afþin Saðlýk Yüksekokulu,106010531,Hemþirelik,204645.0,97622.67,1.0,73.33,73.33
Afþin Saðlýk Yüksekokulu,106010531,Hemþirelik (Yüksekokul),190389.0,153895.0,1.0,62.0,62.0
Afþin Saðlýk Yüksekokulu,106010531,Hemþirelik(Yüksekokul),200073.0,167621.0,1.0,62.0,62.0
Ahmet Keleþoðlu Diþ Hekimliði Fakültesi,106390078,Diþ Hekimliði,38977.2,29219.0,1.0,68.0,68.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010016,  Almanca Öðretmenliði,51356.0,26651.0,1.0,52.0,52.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010016,Almanca Öðretmenliði,46985.2,13099.4,1.0,52.0,52.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010043,  Biyoloji Öðretmenliði,299612.0,239902.0,0.9,19.0,21.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010043,Biyoloji Öðretmenliði,298183.0,246998.0,0.37,7.67,21.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010052,  Coðrafya Öðretmenliði,55675.0,17047.0,1.0,21.0,21.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010052,Coðrafya Öðretmenliði,49194.8,20730.0,1.0,21.0,21.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010061,  Fen Bilgisi Öðretmenliði,236159.0,115835.0,1.0,52.0,52.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010061,Fen Bilgisi Öðretmenliði,231972.25,109276.0,1.0,52.0,52.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010079,  Fizik Öðretmenliði,246813.0,34690.0,1.0,21.0,21.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010079,Fizik Öðretmenliði,274817.0,120585.33,1.0,21.0,21.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010097,  Ýlköðretim Matematik Öðretmenliði,83538.0,26366.0,1.0,62.0,62.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010097,Ýlköðretim Matematik Öðretmenliði,101898.2,45843.2,1.0,55.8,55.8
Ahmet Keleþoðlu Eðitim Fakültesi,107010113,  Ýngilizce Öðretmenliði,19758.0,1036.0,1.0,93.0,93.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010113,Ýngilizce Öðretmenliði,17150.0,3745.0,1.0,84.8,84.8
Ahmet Keleþoðlu Eðitim Fakültesi,107010122,  Kimya Öðretmenliði,258275.0,122306.0,1.0,21.0,21.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010122,Kimya Öðretmenliði,283325.33,166325.33,0.89,18.67,21.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010131,  Matematik Öðretmenliði,79977.0,49530.0,1.0,21.0,21.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010131,Matematik Öðretmenliði,82980.0,34911.8,1.0,21.0,21.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010149,  Okul Öncesi Öðretmenliði,21023.0,999.0,1.0,72.0,72.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010149,Okul Öncesi Öðretmenliði,17512.4,1703.2,1.0,68.0,68.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010158,  Rehberlik ve Psikolojik Danýþmanlýk,135024.0,6455.0,1.0,72.0,72.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010158,Rehberlik ve Psikolojik Danýþmanlýk,100415.2,16533.4,1.0,65.8,65.8
Ahmet Keleþoðlu Eðitim Fakültesi,107010167,  Sýnýf Öðretmenliði,105844.0,46609.0,1.0,62.0,62.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010167,Sýnýf Öðretmenliði,95485.2,27376.2,1.0,60.0,60.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010176,  Sosyal Bilgiler Öðretmenliði,74294.0,36882.0,1.0,62.0,62.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010176,Sosyal Bilgiler Öðretmenliði,64871.4,26752.6,1.0,60.0,60.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010185,  Tarih Öðretmenliði,55068.0,15501.0,1.0,21.0,21.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010185,Tarih Öðretmenliði,50790.0,17564.0,1.0,21.0,21.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010194,  Türk Dili ve Edebiyatý Öðretmenliði,45009.0,6267.0,1.0,21.0,21.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010194,Türk Dili ve Edebiyatý Öðretmenliði,40070.2,10852.6,1.0,21.0,21.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010201,  Türkçe Öðretmenliði,35480.0,7241.0,1.0,62.0,62.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010201,Türkçe Öðretmenliði,26017.2,3620.4,1.0,60.0,60.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010731,  Özel Eðitim Öðretmenliði,15386.0,718.0,1.0,123.0,123.0
Ahmet Keleþoðlu Eðitim Fakültesi,107010731,Özel Eðitim Öðretmenliði,11245.4,1270.0,1.0,108.8,108.8
Ahmet Keleþoðlu Eðitim Fakültesi,107090216,  Arapça Öðretmenliði,46664.0,8930.0,1.0,41.0,41.0
Ahmet Keleþoðlu Eðitim Fakültesi,107090216,Arapça Öðretmenliði,45947.5,8029.0,1.0,41.0,41.0
Ahmet Keleþoðlu Ýlahiyat Fakültesi,107010237,  Ýlahiyat,85676.0,624.0,1.0,175.0,175.0
Ahmet Keleþoðlu Ýlahiyat Fakültesi,107010237,Ýlahiyat,69256.4,215.2,1.0,185.0,185.0
Ahmet Keleþoðlu Ýlahiyat Fakültesi,107010661,  Ýlahiyat (Arapça),129388.0,4083.0,1.0,36.0,36.0
Ahmet Keleþoðlu Ýlahiyat Fakültesi,107010661,Ýlahiyat (Arapça),123504.25,19288.5,1.0,36.5,36.5
Ahmet Keleþoðlu Ýlahiyat Fakültesi,107010661,Ýlahiyat(Arapça),64329.0,3265.0,1.0,41.0,41.0
Ahmet Keleþoðlu Ýlahiyat Fakültesi,107030135,  Ýlahiyat (ÝÖ),218528.0,17418.0,1.0,139.0,139.0
Ahmet Keleþoðlu Ýlahiyat Fakültesi,107030135,Ýlahiyat (ÝÖ),187010.33,14053.33,1.0,145.33,145.33
Ahmet Keleþoðlu Ýlahiyat Fakültesi,107030135,Ýlahiyat(ÝÖ),94460.0,9272.0,1.0,154.0,154.0
Ahmet Keleþoðlu Ýlahiyat Fakültesi,107090273,  Ýlahiyat (M.T.O.K.),206832.0,43681.0,1.0,20.0,20.0
Ahmet Keleþoðlu Ýlahiyat Fakültesi,107090273,Ýlahiyat (M.T.O.K.),197544.67,57854.0,1.0,19.67,19.67
Ahmet Keleþoðlu Ýlahiyat Fakültesi,107090274,  Ýlahiyat (M.T.O.K.) (ÝÖ),311468.0,207804.0,1.0,15.0,15.0
Ahmet Keleþoðlu Ýlahiyat Fakültesi,107090274,Ýlahiyat (M.T.O.K.) (ÝÖ),452557.0,163936.0,1.0,15.5,15.5
Ahmet Keleþoðlu Ýlahiyat Fakültesi,107090275,  Ýlahiyat (Arapça) (M.T.O.K.) ,191517.0,65077.0,1.0,5.0,5.0
Ahmet Keleþoðlu Ýlahiyat Fakültesi,107090275,Ýlahiyat (Arapça) (M.T.O.K.),196437.67,89174.67,0.94,5.33,5.67
Akdaðmadeni Saðlýk Yüksekokulu,102310373,  Ýþ Saðlýðý ve Güvenliði,791024.0,473955.0,1.0,21.0,21.0
Akdaðmadeni Saðlýk Yüksekokulu,102310373,Ýþ Saðlýðý ve Güvenliði,643336.33,434944.33,0.66,14.67,25.0
Akdaðmadeni Saðlýk Yüksekokulu,102310373,Ýþ Saðlýðý ve Güvenliði (Yüksekokul),630615.0,325212.0,1.0,31.0,31.0
Akdaðmadeni Saðlýk Yüksekokulu,102390119,  Hemþirelik,211208.0,182283.0,1.0,72.0,72.0
Akdaðmadeni Saðlýk Yüksekokulu,102390119,Hemþirelik,216967.67,196414.0,0.99,76.0,76.67
Akçakoca Bey Siyasal Bilgiler Fakültesi,103310573,  Uluslararasý Ýliþkiler,877931.0,381729.0,1.0,62.0,62.0
Akçakoca Bey Siyasal Bilgiler Fakültesi,103310573,Uluslararasý Ýliþkiler,732691.8,341288.6,0.82,53.6,64.8
Akçakoca Bey Siyasal Bilgiler Fakültesi,103310616,  Siyaset Bilimi ve Kamu Yönetimi,934632.0,232499.0,1.0,62.0,62.0
Akçakoca Bey Siyasal Bilgiler Fakültesi,103310616,Siyaset Bilimi ve Kamu Yönetimi,703106.0,268167.6,0.84,54.6,64.8
Akçakoca Bey Siyasal Bilgiler Fakültesi,103390120,  Ýktisat,1007795.0,629793.0,1.0,41.0,41.0
Akçakoca Bey Siyasal Bilgiler Fakültesi,103390120,Ýktisat,793030.2,519026.2,0.8,35.6,43.8
Akçakoca Bey Siyasal Bilgiler Fakültesi,103390162,  Siyaset Bilimi ve Kamu Yönetimi (Ýngilizce),779352.0,237292.0,1.0,31.0,31.0
Akçakoca Bey Siyasal Bilgiler Fakültesi,103390162,Siyaset Bilimi ve Kamu Yönetimi (Ýngilizce),661523.25,275320.0,0.8,29.5,35.75
Akçakoca Turizm Ýþletmeciliði ve Otelcilik Yüksekokulu,103390164,  Gastronomi ve Mutfak Sanatlarý,110398.0,40247.0,1.0,41.0,41.0
Akçakoca Turizm Ýþletmeciliði ve Otelcilik Yüksekokulu,103390164,Gastronomi ve Mutfak Sanatlarý,112297.33,40458.0,1.0,44.0,44.0
Akçakoca Turizm Ýþletmeciliði ve Otelcilik Yüksekokulu,103390164,Gastronomi ve Mutfak Sanatlarý (Yüksekokul),104272.0,59484.0,1.0,41.0,41.0
Akçakoca Turizm Ýþletmeciliði ve Otelcilik Yüksekokulu,103390165,  Turizm Ýþletmeciliði,1231318.0,211042.0,1.0,41.0,41.0
Akçakoca Turizm Ýþletmeciliði ve Otelcilik Yüksekokulu,103390165,Turizm Ýþletmeciliði,1140894.0,405414.0,1.0,42.0,42.0
Akçakoca Turizm Ýþletmeciliði ve Otelcilik Yüksekokulu,103390165,Turizm Ýþletmeciliði (Yüksekokul),998431.0,455734.0,0.66,27.0,41.0
Akþehir Kadir Yallagöz Saðlýk Yüksekokulu,108910843,  Hemþirelik,189662.0,138647.0,1.0,82.0,82.0
Akþehir Kadir Yallagöz Saðlýk Yüksekokulu,108910843,Hemþirelik,190815.67,120032.0,1.0,83.0,83.33
Akþehir Kadir Yallagöz Saðlýk Yüksekokulu,108910843,Hemþirelik (Yüksekokul),183479.0,65589.0,1.0,82.0,82.0
Akþehir Kadir Yallagöz Saðlýk Yüksekokulu,108910843,Hemþirelik(Yüksekokul),186936.0,126156.0,1.0,82.0,82.0
Akþehir Kadir Yallagöz Saðlýk Yüksekokulu,108911153,  Beslenme ve Diyetetik,293736.0,231293.0,1.0,62.0,62.0
Akþehir Kadir Yallagöz Saðlýk Yüksekokulu,108911153,Beslenme ve Diyetetik,311855.67,218244.67,0.99,52.0,52.67
Akþehir Kadir Yallagöz Saðlýk Yüksekokulu,108911153,Beslenme ve Diyetetik (Yüksekokul),235738.0,139002.0,1.0,62.0,62.0
Akþehir Kadir Yallagöz Saðlýk Yüksekokulu,108911153,Beslenme ve Diyetetik(Yüksekokul),192658.0,103592.0,1.0,62.0,62.0
Akþehir Mühendislik ve Mimarlýk Fakültesi,108990309,  Makine Mühendisliði,296896.0,207333.0,0.35,22.0,62.0
Akþehir Mühendislik ve Mimarlýk Fakültesi,108990309,Makine Mühendisliði,285640.8,162177.6,0.87,49.2,57.0
Akþehir Mühendislik ve Mimarlýk Fakültesi,108990310,  Gýda Mühendisliði,250696.0,239784.0,0.1,2.0,21.0
